PRODUCT,UF,MODEL,PARAMETERS,CLASS,MAPE,POCID,PBE,MASE20,MASE21,MASE22,MASE23,MASE24,RRMSE,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,P54,P55,P56,P57,P58,P59,P60
etanolhidratado,ac,ARIMA,Best,Estatistic,0.26959,59.32203,8.12579,0.5842,0.9633,0.4052,1.2983,0.9373,0.36262,504.3928378,556.6781209,479.7455953,498.6925454,593.8211264,677.4148458,680.9345885,723.3185526,657.0371194,766.6384664,566.0506772,568.3600179,656.5590153,642.2757154,601.3467094,658.0863509,687.5990816,711.2711722,719.1784637,757.3236516,689.571781,740.6807201,646.8296976,582.4636142,671.9809929,627.747413,559.6396285,589.5184547,536.5048252,541.7918227,549.6828056,626.116018,587.7087683,677.9041702,583.6700495,504.8325509,487.7264434,506.2504334,487.4786375,529.2344075,552.6228297,585.2608959,621.5710473,610.1582413,496.7580546,555.2079604,424.4983004,350.1294723,442.7932157,433.8478749,442.7784131,502.2662659,581.4089887,630.3323667,624.2813973,603.8526425,551.1238604,594.3915525,482.6008268,415.1649192
etanolhidratado,al,ARIMA,Best,Estatistic,0.27419,62.71186,-3.68696,0.7243,1.1618,0.4668,1.4526,0.5967,0.33934,7340.439622,6878.453785,6557.563657,6689.781596,6799.142008,6803.760348,6878.568821,6966.491488,6676.908016,7182.273082,6959.591688,6407.676681,7023.717309,6320.039474,5216.969111,5936.597905,5396.648116,5626.426156,5994.697977,6575.183499,5171.827828,6492.063958,5557.324064,5355.88597,7342.589765,6093.658939,5972.232268,5440.883342,5611.128395,5778.252163,5519.120545,5874.883396,5794.862244,6618.458623,6399.030364,5939.363785,5302.410775,5288.370676,5339.402727,5212.336634,4984.827568,5042.645758,4939.90927,5071.612865,5286.351357,6081.282141,6256.605365,5501.672913,5375.941367,4964.491896,5035.277774,5153.282944,5025.411851,4972.221179,5240.961769,4751.17312,4622.958352,5165.710476,4985.565133,4819.107348
etanolhidratado,am,ARIMA,Best,Estatistic,0.23458,49.15254,16.33124,1.0175,0.7144,1.1999,0.9994,1.1363,0.69888,5222.690374,5670.983278,6975.346684,6780.555368,7282.500963,7269.362427,6924.678007,6744.034318,7636.670383,7949.145413,7477.748183,7151.23405,11043.09771,10896.34748,9797.962023,9904.756975,10630.16349,10366.33725,9783.549392,9647.027605,10447.57945,10285.91737,9284.260621,9282.642233,9811.979056,8538.507471,9339.944819,9085.12553,8678.335327,8268.935623,8252.598846,8185.501674,7248.526589,8193.145196,8004.325452,8677.675562,9957.825434,10096.17889,10088.92555,10431.64279,9747.579187,11011.28798,10962.97816,10893.46806,10285.67032,10827.59224,10526.76664,9971.534521,10708.14308,11139.13507,11010.68617,10620.70179,10149.21957,10229.1365,10037.35463,9977.794267,9373.740157,9065.476319,7875.249538,9276.634548
etanolhidratado,ap,ARIMA,Best,Estatistic,1.1862,44.0678,-22.29956,1.1582,0.9181,1.5751,1.8029,0.8731,0.12085,59.51624745,57.29974095,35.67326161,60.82814132,95.08487,97.54934828,103.7346243,81.04398068,72.66591084,85.34149358,54.47092567,45.31230273,59.67166901,61.49299327,54.99161143,65.82510544,100.8450134,95.45707306,96.7570126,75.07600733,66.66285682,80.06646354,51.63160844,49.10957465,25.91443676,25.21271822,10.54690571,35.4760768,58.73066506,69.97608339,66.00892163,50.31278574,29.73517947,44.08900955,14.64462133,11.52192622,28.31731746,26.17105091,21.371549,29.25167234,57.58291948,52.79283465,53.56040663,22.03143111,16.35825547,30.36808624,15.57209328,10.14156323,37.16493077,28.91111618,30.26460836,32.65525694,53.23679562,38.16718333,39.37221305,29.07268895,15.22796015,33.74584152,15.1858123,12.06154648
etanolhidratado,ba,ARIMA,Best,Estatistic,0.17734,57.62712,-0.55503,0.6176,0.9886,0.5907,1.382,0.5661,0.36408,46181.22,43027.36328,45611.77214,44804.78908,45374.11359,42203.56067,44280.91679,41920.85435,44049.47838,45460.13241,49734.56364,43659.08408,48041.05085,47278.09275,46657.67398,48053.32342,48830.55885,49039.31349,50112.8935,51686.82588,49391.68752,53832.91397,54069.87531,49415.34713,45188.69051,43508.64315,41370.69723,40061.55753,34626.62875,38545.27522,40419.61656,48057.41268,45924.38185,48834.13973,45619.70517,39515.69774,34968.51434,33351.948,31367.07297,32604.75644,32872.08593,34151.02587,35347.55519,37178.59788,36989.70921,41775.4144,40195.4927,35943.13885,33849.91073,33008.81109,34089.10304,37680.23376,37081.32601,39626.99579,39230.96281,37261.65194,36234.74112,40602.00283,40047.67208,35825.79118
etanolhidratado,ce,ARIMA,Best,Estatistic,0.26789,62.71186,0.53105,0.804,1.3101,0.5475,1.6297,0.9618,0.38075,14009.73232,11886.8786,12364.75092,13223.74883,13842.84108,15109.7828,14509.62022,14131.06643,12841.49903,13679.70936,13255.28039,12590.42378,15938.64759,15399.12709,15323.8108,15532.78432,15873.81129,15688.61276,15494.84847,15815.38565,15169.22693,16308.05852,15569.33846,14199.40594,13783.95244,12574.64646,12142.60792,12050.73977,11034.29262,11312.34698,11234.38401,12491.87883,12817.49083,14050.43225,13095.72516,11972.13335,9315.746936,8919.078977,9186.993493,8505.493831,10343.39683,10657.86478,9656.73667,9617.637964,9632.06427,11527.73738,11358.02516,9611.025022,10282.58582,9292.116118,8649.243166,8956.129931,9914.722734,10120.10315,8448.950227,7803.947652,7411.430146,9331.214052,9695.701374,9281.75078
etanolhidratado,df,ARIMA,Best,Estatistic,0.53265,62.71186,3.98741,0.2709,0.9107,0.8922,0.6517,0.9765,0.60329,9018.848364,10852.37455,14032.19022,15726.00712,16572.49923,18645.44892,19595.12757,16818.75677,16296.57159,14617.11412,11201.41263,9456.900793,10972.77067,12494.60327,14503.30031,15261.25255,16204.92675,16799.14683,15244.82348,15468.79035,14202.63274,15716.156,13199.58938,12745.24347,15151.84771,14868.54623,15269.87675,16339.96226,16170.45844,16619.46638,17980.98594,18441.08416,15737.33239,15007.84205,10064.1148,12260.18892,7589.284972,7634.88435,8799.095791,10020.4551,10263.9386,10110.3217,8934.197388,9553.013848,8768.231158,8287.330233,5521.273666,7732.156479,8070.04848,7039.317469,7598.296373,8263.197953,7277.153327,8022.828408,8460.513982,9011.826469,8508.706254,9084.377486,5599.103654,6084.598757
etanolhidratado,es,ARIMA,Best,Estatistic,0.32567,49.15254,8.36389,0.3395,0.8813,0.7211,1.1868,0.8814,0.40511,5237.297821,4690.645407,4820.099165,5124.813684,5831.64351,5481.248576,5751.171357,6048.472089,4880.699441,6395.308121,5588.078289,4652.505822,4552.816278,4218.21637,4236.615275,4203.039006,5040.238019,4940.681554,4941.331002,5390.432695,4787.270694,6019.534258,5566.346459,4579.966025,4152.929963,3605.379367,3391.257378,3153.972714,3753.097675,3796.308416,3889.368249,4320.94219,3628.072125,5005.204759,4469.690479,3333.395254,3202.48921,2640.40803,3264.723839,3599.336012,3902.930257,4064.400354,4286.689075,4785.821299,4161.176082,5108.595092,4872.520127,4027.889176,3583.880989,3000.215151,3454.475395,3671.710436,4075.183129,3796.264036,3616.955272,3878.068369,3405.806975,4401.504422,4058.772371,3144.387751
etanolhidratado,go,ARIMA,Best,Estatistic,0.15193,59.32203,1.31389,1.4424,0.9314,0.8361,1.7407,0.7658,0.4052,126831.2748,118277.5918,117402.613,122560.6415,123829.9041,130368.1002,130811.8678,133443.204,128290.6973,128509.1801,116364.9684,107183.3737,132510.2622,133287.2575,138785.7703,141857.5663,148316.5232,149539.0348,151245.8532,153299.979,146579.4485,151591.5106,141362.4688,137222.2073,128843.1032,110163.7264,120424.5254,119926.1638,131355.4693,139614.0526,140132.3745,151106.0695,142086.9844,147835.7576,136193.4439,129020.6789,105433.089,106453.9388,110178.1996,111163.4135,114356.7092,115227.4609,116310.2658,119125.5692,114412.4004,119262.5254,111284.1835,107573.0124,97884.37674,102213.776,110700.2513,116348.3428,117560.62,113965.5008,112395.5546,109892.1305,103664.4288,109052.1594,98539.90217,97306.94573
etanolhidratado,ma,ARIMA,Best,Estatistic,0.30339,59.32203,4.41006,0.9978,1.0364,0.5353,0.9882,0.5897,0.34257,2988.062351,2846.688366,2861.302555,3010.419777,3403.572739,3385.119459,3276.025351,3422.02028,3274.034362,3621.14315,3130.946943,2507.520191,3659.443249,3774.015846,3886.606287,4054.476155,4544.211588,4495.118579,4427.758436,4827.373868,4465.754001,4744.666531,4548.093151,3685.58455,3856.609422,3633.308143,3341.511722,3424.613003,3493.17874,3702.666716,3798.103594,4014.231126,3774.525012,4381.622676,3766.75733,2968.49176,3518.104212,3800.644748,3973.140238,4032.953607,4588.419402,4692.248618,4378.135605,4622.300609,4640.02465,4652.666322,4278.119612,3611.831152,2990.323043,3043.714312,2578.088842,2768.514272,3003.797568,2942.146088,2827.411224,3117.493841,2988.099163,3595.986486,3002.741983,2416.256276
